ID,Nombre completo,Correo electrónico,Teléfono,Edad,País,Fecha de nacimiento,Género,Salario,Estatura (cm),Peso (kg)
1,Paula Rivas,paula.rivas@gmail.com,5551234567,35,Canadá,15/03/1991,Femenino,56254,188,56
2,Javier Torres,javier.torres@gmail.com,800555789,35,U.S,09/08/2009,Masculino,90383,178,53
3,Andrés Castro Gómez,andres.gomez@gmail.com,800555789,35,Colombia,15/03/1991,Masculino,44479,164,78
4,Stephanie W.,stephanie.w.@gmail.com,5554321,35,España,18/12/2020,Femenino,71616,192,63
5,Carlos Garía,carlos.garia@gmail.com,5554321234,35,España,10/05/2005,Masculino,60835,157,52
6,María Hernández,maria.hernandez@gmail.com,5554321234,35,Colombia,22/06/2024,Femenino,42312,170,73
7,Marta Lopez Rodríguez,marta.rodriguez@gmail.com,5554321234,35,Colombia,31/03/2021,Femenino,119491,188,86
8,Lucía Méndez,lucia.mendez@gmail.com,800555789,35,UK,27/05/2017,Femenino,117724,168,65
9,Diego García,diego.garcia@gmail.com,800555789,46,España,03/05/2001,Masculino,114596,172,53
10,Juan Pérez,juan.perez@hotmail.com,800555789,46,Argentina,01/08/2013,Masculino,104581,160,73
11,Pedro Sánz,pedro.sanz@gmail.com,5554321,46,UK,16/02/2020,Masculino,54681,160,83
12,Ana López,ana.lopez@gmail.com,5554321,46,España,15/03/1991,Femenino,82916,173,79
13,Ana López,ana.lopez@gmail.com,55987654321,46,Canadá,29/09/2007,Femenino,56638,185,67
14,José Martín,jose.martin@gmail.com,5554321234,46,Argentina,18/07/2008,Femenino,111878,189,68
15,Carlos Garía,carlos.garia@hotmail.com,5551234567,46,Colombia,11/01/2024,Masculino,36771,173,80
16,Pedro Sánz,pedro.sanz@gmail.com,5551234567,18,U.S,02/07/2024,Masculino,75347,152,68
17,Lucía Méndez,lucia.mendez@gmail.com,1234567891,18,UK,15/03/1991,Femenino,41085,171,98
18,José Martín,jose.martin@hotmail.com,800555789,18,U.S,17/02/2007,Masculino,36949,151,95
19,María Hernández,maria.hernandez@gmail.com,55987654321,39,UK,15/03/1991,Femenino,90148,173,68
20,Paula Rivas,paula.rivas@gmail.com,55987654321,39,UK,25/08/2019,Femenino,82860,193,71
21,Lucía Méndez,lucia.mendez@gmail.com,5551234567,39,Colombia,02/11/2007,Femenino,82456,179,73
22,Pedro Sánz,pedro.sanz@gmail.com,55987654321,39,Canadá,30/04/2018,Masculino,85823,187,94
23,Carlos Garía,carlos.garia@hotmail.com,800555789,39,U.S,04/05/2010,Masculino,96668,151,61
