ID,Nombre completo,Correo electrónico,Teléfono,Edad,País,Fecha de nacimiento,Género
1,Paula Rivas,paula.rivas@mail.org,5551234567,35,Canadá,15-March-1991,Female
2,Javier Torres,javier.torres@domain.com,800 555 789,35,U.S,30/12/1988,F
3,Andrés Castro Gómez,andrés.gómez@domain.com,800 555 789,N/A,Colombia,15-March-1991,Male
4,Stephanie W.,stephanie.w.@gmail.com,55-54321,,España,15/03/1995,Female
5,Carlos Garía,carlos.garía@domain.com,555.432.1234,,España,08/21/1999,Hombre
6,María Hernández,maría.hernández@correo.com,555.432.1234,N/A,Colombia,08/21/1999,Male
7,Marta Lopez Rodríguez,marta.rodríguez@gmailcom,555.432.1234,N/A,Colombia,31/07/1978,Mujer
8,Lucía Méndez,lucía.méndez@gmail.com,800 555 789,35,UK,31/07/1978,F
9,Diego García,diego.garcía@correo.com,800 555 789,46,España,15/03/1995,F
10,Juan Pérez,juan.pérez@hotmail.com,800 555 789,,Argentina,30/12/1988,Female
11,Pedro Sánz,pedro.sánz@gmail.com,55-54321,,UK,31/07/1978,F
12,Ana López,ana.lópez@domain.com,55-54321,N/A,España,15-March-1991,F
13,Ana López,ana.lópez@eml.com,(55) 98765-4321,N/A,Canadá,30/12/1988,F
14,José Martín,josé.martín@gmail.com,555.432.1234,,Argentina,31/07/1978,Femenino
15,Carlos Garía,carlos.garía@hotmail.com,5551234567,N/A,Colombia,08/21/1999,Hombre
16,Pedro Sánz,pedro.sánz@mail.org,5551234567,18,U.S,31/07/1978,
17,Lucía Méndez,lucía.méndez@correo.com,+1 234 567 891,N/A,UK,15-March-1991,F
18,José Martín,josé.martín@hotmail.com,800 555 789,N/A,U.S,08/21/1999,Hombre
19,María Hernández,maría.hernández@mail.org,(55) 98765-4321,39,UK,15-March-1991,Female
20,Paula Rivas,paula.rivas@mail.org,(55) 98765-4321,N/A,UK,08/21/1999,M
21,Lucía Méndez,lucía.méndez@domain.com,5551234567,N/A,Colombia,15/03/1995,
22,Pedro Sánz,pedro.sánz@mail.org,(55) 98765-4321,N/A,Canadá,09.12.1980,F
23,Carlos Garía,carlos.garía@hotmail.com,800 555 789,N/A,U.S,09.12.1980,Mujer
24,Juan Pérez,juan.pérez@mail.org,5551234567,,Canadá,08/21/1999,Mujer
25,Lucía Méndez,lucía.méndez@yahoo.com,555-1234,24,Perú,09.12.1980,Femenino
26,José Martín,josé.martín@correo.com,+1 234 567 891,N/A,Colombia,09.12.1980,M
27,Carlos Garía,carlos.garía@yahoo.com,555.432.1234,N/A,U.S,02/02/2005,Hombre
28,Ana López,ana.lópez@hotmail.com,555.432.1234,51,Argentina,30/12/1988,Femenino
29,Marta Lopez Rodríguez,marta.rodríguez@yahoo.com,555-1234,51,UK,02/02/2005,F
30,Paula Rivas,paula.rivas@mail.org,55-54321,44,UK,30/12/1988,Male
31,Pedro Sánz,pedro.sánz@yahoo.com,55-54321,,Colombia,15/03/1995,F
32,Andrés Castro Gómez,andrés.gómez@yahoo.com,800 555 789,N/A,México,08/21/1999,
33,Laura Orozco Sánchez,laura.sánchez@eml.com,555-1234,N/A,Canadá,15-March-1991,M
34,José Martín,josé.martín@mail.org,+1 234 567 891,,España,09.12.1980,Male
35,María Hernández,maría.hernández@hotmail.com,555.432.1234,26,México,02/02/2005,Femenino
36,Juan Pérez,juan.pérez@correo.com,(55) 98765-4321,45,México,15-March-1991,Female
37,José Martín,josé.martín@correo.com,5551234567,N/A,Colombia,02/02/2005,
38,Juan Pérez,juan.pérez@hotmail.com,800 555 789,52,Argentina,08/21/1999,Male
39,Diego García,diego.garcía@correo.com,(55) 98765-4321,45,UK,30/12/1988,M
40,Ana López,ana.lópez@yahoo.com,+1 234 567 891,21,México,09.12.1980,F
